panel,spike_id,time_s,x_px_in_panel,y_px_in_panel,x_px_abs,y_px_abs,y_norm_in_raster,sigma_px,detection_score
no_prediction_reward_occurs,no_prediction_reward_occurs_0078,0.2970711297071129,155.0,76.0,547.0,277.0,0.28431372549019607,1.8888888888888888,0.8309368191721133
no_prediction_reward_occurs,no_prediction_reward_occurs_0088,0.30543933054393313,156.0,140.0,548.0,341.0,0.9117647058823529,2.111111111111111,0.8392156862745098
no_prediction_reward_occurs,no_prediction_reward_occurs_0006,0.33054393305439334,159.0,100.0,551.0,301.0,0.5196078431372549,2.111111111111111,0.8405228758169936
no_prediction_reward_occurs,no_prediction_reward_occurs_0014,0.33054393305439334,159.0,130.0,551.0,331.0,0.8137254901960784,2.333333333333333,0.9254901960784314
no_prediction_reward_occurs,no_prediction_reward_occurs_0001,0.38075313807531375,165.0,90.0,557.0,291.0,0.4215686274509804,2.7777777777777777,0.9773420479302833
no_prediction_reward_occurs,no_prediction_reward_occurs_0067,0.38075313807531375,165.0,110.0,557.0,311.0,0.6176470588235294,2.111111111111111,0.7324618736383441
no_prediction_reward_occurs,no_prediction_reward_occurs_0066,0.38912133891213396,166.0,140.0,558.0,341.0,0.9117647058823529,2.111111111111111,0.8762527233115469
no_prediction_reward_occurs,no_prediction_reward_occurs_0156,0.4309623430962344,171.0,124.0,563.0,325.0,0.7549019607843137,1.6666666666666665,0.8082788671023965
no_prediction_reward_occurs,no_prediction_reward_occurs_0154,0.4393305439330544,172.0,56.0,564.0,257.0,0.08823529411764706,1.8888888888888888,0.7337690631808279
no_prediction_reward_occurs,no_prediction_reward_occurs_0095,0.44769874476987437,173.0,129.0,565.0,330.0,0.803921568627451,2.5555555555555554,0.8453159041394335
no_prediction_reward_occurs,no_prediction_reward_occurs_0085,0.4644351464435146,175.0,66.0,567.0,267.0,0.18627450980392157,2.111111111111111,0.8026143790849674
no_prediction_reward_occurs,no_prediction_reward_occurs_0142,0.4728033472803348,176.0,109.0,568.0,310.0,0.6078431372549019,1.6666666666666665,0.9124183006535946
no_prediction_reward_occurs,no_prediction_reward_occurs_0082,0.4728033472803348,176.0,145.0,568.0,346.0,0.9607843137254902,1.6666666666666665,0.8191721132897604
no_prediction_reward_occurs,no_prediction_reward_occurs_0157,0.4811715481171548,177.0,61.0,569.0,262.0,0.13725490196078433,1.8888888888888888,0.8278867102396514
no_prediction_reward_occurs,no_prediction_reward_occurs_0141,0.4895397489539748,178.0,51.0,570.0,252.0,0.0392156862745098,1.8888888888888888,0.7368191721132897
no_prediction_reward_occurs,no_prediction_reward_occurs_0131,0.4895397489539748,178.0,104.0,570.0,305.0,0.5588235294117647,1.6666666666666665,0.8562091503267975
no_prediction_reward_occurs,no_prediction_reward_occurs_0215,0.5230125523012552,182.0,109.0,574.0,310.0,0.6078431372549019,1.2222222222222223,0.7782135076252722
no_prediction_reward_occurs,no_prediction_reward_occurs_0225,0.5397489539748954,184.0,112.0,576.0,313.0,0.6372549019607843,1.0,0.5821350762527233
no_prediction_reward_occurs,no_prediction_reward_occurs_0189,0.5648535564853556,187.0,108.0,579.0,309.0,0.5980392156862745,3.0,0.7594771241830065
no_prediction_reward_occurs,no_prediction_reward_occurs_0011,0.6150627615062763,193.0,71.0,585.0,272.0,0.23529411764705882,2.111111111111111,0.8339869281045752
no_prediction_reward_occurs,no_prediction_reward_occurs_0052,0.6150627615062763,193.0,134.0,585.0,335.0,0.8529411764705882,2.111111111111111,0.8287581699346406
no_prediction_reward_occurs,no_prediction_reward_occurs_0029,0.6401673640167365,196.0,110.0,588.0,311.0,0.6176470588235294,2.111111111111111,0.8422657952069718
no_prediction_reward_occurs,no_prediction_reward_occurs_0044,0.6736401673640167,200.0,51.0,592.0,252.0,0.0392156862745098,1.8888888888888888,0.8919389978213508
no_prediction_reward_occurs,no_prediction_reward_occurs_0105,0.6736401673640167,200.0,86.0,592.0,287.0,0.38235294117647056,1.6666666666666665,0.8453159041394335
no_prediction_reward_occurs,no_prediction_reward_occurs_0102,0.6736401673640167,200.0,134.0,592.0,335.0,0.8529411764705882,1.8888888888888888,0.8318082788671023
no_prediction_reward_occurs,no_prediction_reward_occurs_0019,0.7154811715481171,205.0,100.0,597.0,301.0,0.5196078431372549,2.111111111111111,0.9215686274509802
no_prediction_reward_occurs,no_prediction_reward_occurs_0010,0.7238493723849373,206.0,71.0,598.0,272.0,0.23529411764705882,2.111111111111111,0.8296296296296296
no_prediction_reward_occurs,no_prediction_reward_occurs_0055,0.7322175732217573,207.0,90.0,599.0,291.0,0.4215686274509804,2.111111111111111,0.8248366013071896
no_prediction_reward_occurs,no_prediction_reward_occurs_0033,0.7991631799163179,215.0,61.0,607.0,262.0,0.13725490196078433,1.8888888888888888,0.8339869281045752
no_prediction_reward_occurs,no_prediction_reward_occurs_0058,0.8242677824267783,218.0,114.0,610.0,315.0,0.6568627450980392,1.8888888888888888,0.8810457516339869
no_prediction_reward_occurs,no_prediction_reward_occurs_0097,0.8493723849372385,221.0,145.0,613.0,346.0,0.9607843137254902,1.6666666666666665,0.8339869281045753
no_prediction_reward_occurs,no_prediction_reward_occurs_0021,0.8661087866108788,223.0,66.0,615.0,267.0,0.18627450980392157,1.8888888888888888,0.8766884531590414
no_prediction_reward_occurs,no_prediction_reward_occurs_0018,0.8661087866108788,223.0,76.0,615.0,277.0,0.28431372549019607,2.111111111111111,0.9067538126361655
no_prediction_reward_occurs,no_prediction_reward_occurs_0015,0.899581589958159,227.0,100.0,619.0,301.0,0.5196078431372549,2.111111111111111,0.8130718954248366
no_prediction_reward_occurs,no_prediction_reward_occurs_0135,0.899581589958159,227.0,124.0,619.0,325.0,0.7549019607843137,2.111111111111111,0.8235294117647058
no_prediction_reward_occurs,no_prediction_reward_occurs_0069,0.9163179916317992,229.0,109.0,621.0,310.0,0.6078431372549019,1.6666666666666665,0.8379084967320263
no_prediction_reward_occurs,no_prediction_reward_occurs_0041,0.9246861924686192,230.0,130.0,622.0,331.0,0.8137254901960784,2.111111111111111,0.9141612200435729
no_prediction_reward_occurs,no_prediction_reward_occurs_0218,0.9330543933054394,231.0,119.0,623.0,320.0,0.7058823529411765,1.2222222222222223,0.44052287581699345
no_prediction_reward_occurs,no_prediction_reward_occurs_0056,1.0571428571428572,247.0,52.0,639.0,253.0,0.049019607843137254,1.2222222222222223,0.8470588235294118
no_prediction_reward_occurs,no_prediction_reward_occurs_0197,1.0571428571428572,247.0,86.0,639.0,287.0,0.38235294117647056,1.4444444444444444,0.5342047930283225
no_prediction_reward_occurs,no_prediction_reward_occurs_0016,1.0571428571428572,247.0,139.0,639.0,340.0,0.9019607843137255,1.6666666666666665,0.8810457516339869
no_prediction_reward_occurs,no_prediction_reward_occurs_0017,1.0714285714285714,249.0,105.0,641.0,306.0,0.5686274509803921,1.8888888888888888,0.8531590413943355
no_prediction_reward_occurs,no_prediction_reward_occurs_0134,1.1142857142857143,255.0,54.0,647.0,255.0,0.06862745098039216,3.0,0.9690631808278867
no_prediction_reward_occurs,no_prediction_reward_occurs_0086,1.1142857142857143,255.0,115.0,647.0,316.0,0.6666666666666666,1.8888888888888888,0.9481481481481482
